;file;font;fonteS;text
0;monHTML.html;Calibri-Bold;15.0;Xavier MEHAUT
1;monHTML.html;Calibri;14.0;Architecte sénior BigData, Data Analytics et Cloud
2;monHTML.html;Calibri-Bold;12.0;Années d'expérience :
3;monHTML.html;Calibri;12.0;30 ans
4;monHTML.html;Calibri;11.0;3
5;monHTML.html;Calibri;9.0;ANS
6;monHTML.html;Calibri-Bold;12.0;SAVOIR FAIRE / COMPETENCES FONCTIONNELLES
7;monHTML.html;Calibri-Bold;9.0;Architecte logiciel
8;monHTML.html;Calibri;9.0;, disposant d’une grande expérience
9;monHTML.html;Calibri-Italic;9.0;"(BigData Engineering, DataOps, Systèmes embarqués TR, DataScience, 
Methodes Agiles, Veille technologique, Intelligence Économique)."
10;monHTML.html;Calibri;9.0;"Forte technicité, appréciant, sachant partager le savoir, et faire 
grandir en compétences ses interlocuteurs"
11;monHTML.html;Calibri-Bold;12.0;COMPETENCES
12;monHTML.html;Calibri;9.0;Architectures fonctionnelles et techniques
13;monHTML.html;Calibri-Bold;9.0;BigData
14;monHTML.html;Calibri;9.0;: Spark, Hadoop, Snowflake, Kafka, ELK, Databricks, Hopsworks, AWS, Azure,
15;monHTML.html;Calibri;9.0;…
16;monHTML.html;Calibri-Bold;9.0;DataScience
17;monHTML.html;Calibri;9.0;": Jupyter, Pandas/Koalas, Dataiku, H2O Driverless AI,  machine learning, Deep/Machine 
learning, ML/DataOps"
18;monHTML.html;Calibri-Bold;9.0;Technologiques
19;monHTML.html;Calibri-Bold;9.0;Data Integration tools
20;monHTML.html;Calibri;9.0;: Talend, Nifi, Streamsets, Dremio
21;monHTML.html;Calibri-Bold;9.0;Langages
22;monHTML.html;Calibri;9.0;: Python, Java, Scala, R, Go, Smalltalk, C, Typescript , Javascript, CSS, HTML, …
23;monHTML.html;Calibri-Bold;9.0;Microservices
24;monHTML.html;Calibri;9.0;: Kubernetes, Docker, API(REST, GraphQL,  gRPC)
25;monHTML.html;Calibri-Bold;9.0;Web
26;monHTML.html;Calibri;9.0;: ReactJS, NodeJs, Material design, Bootstrap, SemanticUI, Flutter,
27;monHTML.html;Calibri;9.0;…
28;monHTML.html;Calibri-Bold;9.0;DevSecOps
29;monHTML.html;Calibri;9.0;: Continuous Build, Testing, Delivery &Deployment, Git, Jira, Jenkins, Ansible, Nexus, Linux,
30;monHTML.html;Calibri;9.0;Kerberos, Ldap,  …
31;monHTML.html;Calibri-Bold;9.0;Transversal
32;monHTML.html;Calibri;9.0;Coaching technologique, stratégique / Audit / Formation / Méthodologie agile / Conduite du changement
33;monHTML.html;Calibri-Bold;9.0;"Intelligence Eco. 
et Technologique"
34;monHTML.html;Calibri;9.0;Veilles multiples (marché, technologique, concurrentielle, stratégique, brevets, …)
35;monHTML.html;Calibri;9.0;"/ Analyse stratégique 
et concurrentielle / Benchmarking  / Portails de veille"
36;monHTML.html;Calibri-Bold;12.0;FORMATIONS / CERTIFICATIONS
37;monHTML.html;Calibri-Bold;9.0;2014-2019
38;monHTML.html;Calibri;9.0;Diverses certifications en Spark, Machine Learning, Deep Learning, Change Management, AWS,…
39;monHTML.html;Calibri;9.0;MBA et titre
40;monHTML.html;Calibri;9.0;d’état en IE
41;monHTML.html;Calibri;9.0;- ISC Paris/EEIE
42;monHTML.html;Calibri-Italic;9.0;(Stratégie d’entreprise et
43;monHTML.html;Calibri-Italic;9.0;intelligence économique)
44;monHTML.html;Calibri;9.0;Mastère spécialisé - III/Telecom Bretagne
45;monHTML.html;Calibri-Italic;9.0;(Génie logiciel et systèmes temps réel)
46;monHTML.html;Calibri;9.0;DEA - Université Franche-Comté
47;monHTML.html;Calibri-Italic;9.0;(Robotique et imagerie industrielle)
48;monHTML.html;Calibri;9.0;Diplôme franco-allemand d
49;monHTML.html;Calibri;9.0;’i
50;monHTML.html;Calibri;9.0;ngénieur - ISFATES/DFHI
51;monHTML.html;Calibri-Italic;9.0;(Informatique industrielle)
52;monHTML.html;Calibri-Bold;12.0;PARCOURS PROFESSIONNEL
53;monHTML.html;Calibri-Italic;9.0;Synthèse des expériences, présentations détaillées des missions et réalisations pages suivantes
54;monHTML.html;Calibri-Bold;11.0;A
55;monHTML.html;Calibri-Bold;9.0;RCHITECTE SENIOR
56;monHTML.html;Calibri-Bold;11.0;B
57;monHTML.html;Calibri-Bold;9.0;IG
58;monHTML.html;Calibri-Bold;11.0;D
59;monHTML.html;Calibri-Bold;9.0;ATA
60;monHTML.html;Calibri-Bold;11.0;,
61;monHTML.html;Calibri-Bold;11.0;D
62;monHTML.html;Calibri-Bold;9.0;ATA
63;monHTML.html;Calibri-Bold;11.0;A
64;monHTML.html;Calibri-Bold;9.0;NALYTICS ET
65;monHTML.html;Calibri-Bold;11.0;C
66;monHTML.html;Calibri-Bold;9.0;LOUD
67;monHTML.html;Calibri;11.0;-
68;monHTML.html;Calibri;11.0;AI
69;monHTML.html;Calibri;11.0;&
70;monHTML.html;Calibri;11.0;D
71;monHTML.html;Calibri;9.0;ATA
72;monHTML.html;Calibri;9.0;TOTAL RC : Définition roadmap technologique
73;monHTML.html;Calibri;9.0;COVEA : Accompagnement/coaching département Data, formation Spark
74;monHTML.html;Calibri;9.0;EDF : Mise en place de la Plateforme BigData Analytique Commerce , conseil stratégique
75;monHTML.html;Calibri;9.0;GALEC : Transformation et Architecture  de leur chaine décisionnelle en environnement BigData
76;monHTML.html;Calibri;9.0;MOBIVIA Data : architecture de leur chaine de traitement analytique, et conseil opérationnel
77;monHTML.html;Calibri;9.0;REGION OCCITANIE : architecture de la politique OpenData de la région
